subject,distractorType,taskSequence,switchProp,distractorProp,mean_acc
sub40,n,s,75%,75%,1
sub41,d,r,25%,25%,1
sub41,d,r,25%,75%,1
sub41,d,r,75%,25%,1
sub41,d,r,75%,75%,1
sub41,d,s,25%,25%,1
sub41,d,s,25%,75%,1
sub41,d,s,75%,25%,1
sub41,d,s,75%,75%,1
sub41,n,r,25%,25%,0.8333333333333334
sub41,n,r,25%,75%,1
sub41,n,r,75%,25%,1
sub41,n,r,75%,75%,1
sub41,n,s,25%,25%,0.8333333333333334
sub41,n,s,25%,75%,0.9166666666666666
sub41,n,s,75%,25%,1
sub41,n,s,75%,75%,1
sub42,d,r,25%,25%,0.9166666666666666
sub42,d,r,25%,75%,0.9166666666666666
sub42,d,r,75%,25%,1
sub42,d,r,75%,75%,0.8333333333333334
sub42,d,s,25%,25%,1
sub42,d,s,25%,75%,0.9166666666666666
sub42,d,s,75%,25%,0.8333333333333334
sub42,d,s,75%,75%,1
sub42,n,r,25%,25%,1
sub42,n,r,25%,75%,1
sub42,n,r,75%,25%,1
sub42,n,r,75%,75%,0.9166666666666666
sub42,n,s,25%,25%,0.9166666666666666
sub42,n,s,25%,75%,0.9166666666666666
sub42,n,s,75%,25%,0.9166666666666666
sub42,n,s,75%,75%,0.6666666666666666
sub43,d,r,25%,25%,0.8333333333333334
sub43,d,r,25%,75%,1
sub43,d,r,75%,25%,0.8333333333333334
sub43,d,r,75%,75%,0.75
sub43,d,s,25%,25%,0.5833333333333334
sub43,d,s,25%,75%,0.8333333333333334
sub43,d,s,75%,25%,1
sub43,d,s,75%,75%,0.8333333333333334
sub43,n,r,25%,25%,0.8333333333333334
sub43,n,r,25%,75%,0.9166666666666666
sub43,n,r,75%,25%,0.8333333333333334
sub43,n,r,75%,75%,1
sub43,n,s,25%,25%,0.4166666666666667
sub43,n,s,25%,75%,1
sub43,n,s,75%,25%,1
sub43,n,s,75%,75%,1
sub44,d,r,25%,25%,1
sub44,d,r,25%,75%,0.9166666666666666
sub44,d,r,75%,25%,0.9166666666666666
sub44,d,r,75%,75%,1
sub44,d,s,25%,25%,0.8333333333333334
sub44,d,s,25%,75%,1
sub44,d,s,75%,25%,0.75
sub44,d,s,75%,75%,1
sub44,n,r,25%,25%,1
sub44,n,r,25%,75%,1
sub44,n,r,75%,25%,0.9166666666666666
sub44,n,r,75%,75%,1
sub44,n,s,25%,25%,0.9166666666666666
sub44,n,s,25%,75%,0.9166666666666666
sub44,n,s,75%,25%,1
sub44,n,s,75%,75%,1
sub45,d,r,25%,25%,1
sub45,d,r,25%,75%,1
sub45,d,r,75%,25%,0.75
sub45,d,r,75%,75%,1
sub45,d,s,25%,25%,1
sub45,d,s,25%,75%,0.8333333333333334
sub45,d,s,75%,25%,0.9166666666666666
sub45,d,s,75%,75%,1
sub45,n,r,25%,25%,1
sub45,n,r,25%,75%,0.9166666666666666
sub45,n,r,75%,25%,1
sub45,n,r,75%,75%,0.9166666666666666
sub45,n,s,25%,25%,1
sub45,n,s,25%,75%,0.8333333333333334
sub45,n,s,75%,25%,0.6666666666666666
sub45,n,s,75%,75%,0.8333333333333334
sub46,d,r,25%,25%,0.8333333333333334
sub46,d,r,25%,75%,1
sub46,d,r,75%,25%,0.9166666666666666
sub46,d,r,75%,75%,0.9166666666666666
sub46,d,s,25%,25%,0.6666666666666666
sub46,d,s,25%,75%,0.9166666666666666
sub46,d,s,75%,25%,0.8333333333333334
sub46,d,s,75%,75%,1
sub46,n,r,25%,25%,1
sub46,n,r,25%,75%,1
sub46,n,r,75%,25%,0.9166666666666666
sub46,n,r,75%,75%,1
sub46,n,s,25%,25%,0.9166666666666666
sub46,n,s,25%,75%,1
sub46,n,s,75%,25%,0.5833333333333334
sub46,n,s,75%,75%,1
sub47,d,r,25%,25%,1
sub47,d,r,25%,75%,1
sub47,d,r,75%,25%,1
sub47,d,r,75%,75%,1
